numStates 50
numActions 20
start 24
end 2 16 32 34
transition 0 0 14 0.7963462427157579 0.1796594982078853
transition 0 0 23 0.8461648796403536 0.3844086021505376
transition 0 0 5 0.08119984989610884 0.4359318996415771
transition 0 1 2 -0.259720119329625 0.08322382829610162
transition 0 1 19 0.9610333012945373 0.32238282961016207
transition 0 1 7 -0.9272159247770284 0.05562855891371003
transition 0 1 40 -0.9567269802899518 0.21506789312308366
transition 0 1 5 0.9220625604792223 0.32369689005694263
transition 0 2 5 -0.22271551433710512 1.0
transition 0 3 43 0.8160797143191831 0.04866180048661801
transition 0 3 4 0.2079547756237501 0.6167883211678832
transition 0 3 5 -0.9998616742510327 0.33454987834549876
transition 0 4 28 0.11671147219409383 0.41459074733096085
transition 0 4 12 0.8930051083399919 0.38701067615658363
transition 0 4 5 0.8768775994698372 0.19839857651245552
transition 0 5 47 -0.4015489903878926 0.19897835076623693
transition 0 5 33 -0.7826971694916438 0.24324981756263683
transition 0 5 7 0.12165997786309646 0.20238384821211383
transition 0 5 39 -0.03765540608756779 0.08562393578204816
transition 0 5 5 -0.3258389109246682 0.26976404767696427
transition 0 6 27 -0.7621794268922886 0.2632863340563991
transition 0 6 40 -0.20409279679537318 0.221529284164859
transition 0 6 44 -0.5855360531658342 0.06019522776572668
transition 0 6 5 -0.9157971442186761 0.4549891540130152
transition 0 7 31 -0.7390117043162581 0.5589080459770115
transition 0 7 5 -0.3991034177648256 0.4410919540229885
transition 0 8 39 -0.8889459082206772 0.27009646302250806
transition 0 8 40 -0.9281323331396221 0.4887459807073955
transition 0 8 5 -0.16426791040741096 0.24115755627009647
transition 0 9 14 -0.2868923725253534 0.8026208026208026
transition 0 9 5 0.26402682178228454 0.19737919737919737
transition 0 10 5 -0.980071517374068 1.0
transition 0 11 40 -0.2550761488112008 0.7393126571668064
transition 0 11 5 0.326391027066941 0.2606873428331936
transition 0 12 34 0.9190645881510828 0.03584373741441804
transition 0 12 18 -0.3192241946294212 0.19935561820378575
transition 0 12 24 0.046697290876023256 0.3117196939186468
transition 0 12 19 -0.28926510419792906 0.08417237213048731
transition 0 12 5 0.26303384657656426 0.3689085783326621
transition 0 13 5 0.7813978332277847 1.0
transition 0 14 2 0.4904193803000916 0.7288329519450801
transition 0 14 5 -0.8951882438758727 0.2711670480549199
transition 0 15 5 0.17306051716204007 1.0
transition 0 16 5 0.9413515867089914 1.0
transition 0 17 37 0.9577866866228277 0.04262432093606352
transition 0 17 8 -0.07897665440874402 0.35394901796907646
transition 0 17 24 -0.7637527274248639 0.3276222315085667
transition 0 17 5 -0.8370460086890401 0.27580442958629336
transition 0 18 47 -0.23061080805663825 0.07581111468037263
transition 0 18 6 -0.45503036501639627 0.22229360745261806
transition 0 18 46 0.9422988703442121 0.23578541599743014
transition 0 18 5 0.12933390377319842 0.4661098618695792
transition 0 19 37 -0.38260149936921173 0.11001317523056653
transition 0 19 42 0.9172603818785188 0.44598155467720685
transition 0 19 5 0.11104490835612135 0.4440052700922266
transition 1 0 33 0.9441864887472335 0.3036078965282505
transition 1 0 30 -0.15469421243890036 0.09938733832539143
transition 1 0 31 0.7848578679857183 0.2498298162014976
transition 1 0 28 -0.566951432094472 0.34717494894486045
transition 1 1 14 -0.49505423992499265 0.5839813374805599
transition 1 1 28 0.611789312035083 0.41601866251944014
transition 1 2 28 -0.5820605290532799 1.0
transition 1 3 27 0.15937391087492792 0.27479975354282193
transition 1 3 7 0.8833076283920287 0.16820702402957485
transition 1 3 16 0.26425832206995725 0.19654959950708564
transition 1 3 24 0.08684574969180914 0.17991373998767715
transition 1 3 28 -0.23060250647732672 0.18052988293284042
transition 1 4 45 0.7275254951253387 0.1852207293666027
transition 1 4 26 0.7899185241285551 0.16218809980806143
transition 1 4 8 0.6206231520323777 0.43378119001919385
transition 1 4 28 -0.7991567260324326 0.21880998080614203
transition 1 5 3 -0.9137596739153231 0.14426083072800358
transition 1 5 43 0.8562651401961585 0.1799910674408218
transition 1 5 38 0.6901239447967451 0.41402411790978116
transition 1 5 28 0.8905952874629122 0.26172398392139345
transition 1 6 1 0.2967998801323577 0.34331628926223523
transition 1 6 41 -0.0869050381944676 0.3907962016070124
transition 1 6 28 -0.5225574253161578 0.2658875091307524
transition 1 7 16 0.2082836613333423 0.2067620286085826
transition 1 7 48 0.240270581192787 0.3751625487646294
transition 1 7 28 -0.4883436013412823 0.41807542262678804
transition 1 8 33 -0.6788834754435082 0.2041851616994293
transition 1 8 36 0.5586511033902986 0.19023462270133165
transition 1 8 13 -0.682049548028111 0.20228281547241597
transition 1 8 28 0.3596740848210662 0.4032974001268231
transition 1 9 28 0.42241046202121235 1.0
transition 1 10 44 -0.13408675902240996 0.5394285714285715
transition 1 10 28 -0.7903624964774381 0.4605714285714286
transition 1 11 36 0.2837893770749842 0.3559808612440191
transition 1 11 40 0.4140712422255213 0.27177033492822966
transition 1 11 14 -0.8443499687642604 0.06794258373205742
transition 1 11 28 -0.14914419435094106 0.3043062200956938
transition 1 12 24 -0.24829055241678644 0.7857142857142857
transition 1 12 28 0.5866955077055256 0.21428571428571427
transition 1 13 2 -0.4626163120096911 0.3021690351533283
transition 1 13 25 0.015000454936622942 0.36275243081525804
transition 1 13 28 0.10158439941685726 0.33507853403141363
transition 1 14 12 -0.516621869405355 0.6111111111111112
transition 1 14 28 -0.004517900368767647 0.3888888888888889
transition 1 15 8 0.8593028330188353 0.7580645161290323
transition 1 15 28 -0.32380876691184657 0.24193548387096775
transition 1 16 46 -0.8368712553223789 0.2597879282218597
transition 1 16 49 -0.06781913045487542 0.3535889070146819
transition 1 16 21 0.6955321431382773 0.1737357259380098
transition 1 16 28 0.040441392310530455 0.2128874388254486
transition 1 17 25 -0.7422364739147169 0.30170648464163824
transition 1 17 29 -0.49113113616060655 0.08191126279863481
transition 1 17 47 -0.8429002081605355 0.15870307167235495
transition 1 17 33 0.01087962591042091 0.08703071672354949
transition 1 17 28 0.6401785585578659 0.3706484641638225
transition 1 18 11 0.7753342503285414 0.06045016077170418
transition 1 18 17 0.3641690735490113 0.17106109324758842
transition 1 18 46 0.04182404559318953 0.30418006430868166
transition 1 18 28 0.4478540469415708 0.4643086816720257
transition 1 19 34 0.5032860212887851 0.36327503974562797
transition 1 19 48 0.9076904794037655 0.14984101748807632
transition 1 19 30 -0.21188798620238058 0.28696343402225755
transition 1 19 31 -0.0722419812119881 0.019077901430842606
transition 1 19 28 0.08119148328930104 0.18084260731319554
transition 3 0 10 0.8711782409098323 0.16974043715846995
transition 3 0 12 -0.9119808650793853 0.02219945355191257
transition 3 0 18 -0.3689276482620023 0.3343579234972678
transition 3 0 25 0.1683604801232017 0.47370218579234974
transition 3 1 42 0.1410084084300789 0.23905723905723905
transition 3 1 27 0.041401923821599684 0.017316017316017316
transition 3 1 33 0.7224563360064142 0.25637325637325636
transition 3 1 25 0.17240068507584394 0.48725348725348727
transition 3 2 18 -0.7545836853925518 0.6462585034013606
transition 3 2 25 0.18714117973190136 0.35374149659863946
transition 3 3 27 0.9205956971298015 0.595679012345679
transition 3 3 25 -0.9696118400466982 0.404320987654321
transition 3 4 2 0.06643604526119984 0.3102055800293686
transition 3 4 37 -0.013635320916237426 0.33627019089574156
transition 3 4 30 -0.7464571020632265 0.030837004405286344
transition 3 4 45 -0.828077695774899 0.004038179148311307
transition 3 4 25 -0.976694406582078 0.3186490455212922
transition 3 5 12 -0.397160598034078 0.23123993558776168
transition 3 5 32 -0.7213556248628845 0.30112721417069244
transition 3 5 39 0.637442280291024 0.10950080515297907
transition 3 5 25 0.8751256735432258 0.35813204508856683
transition 3 6 22 0.662521717997647 0.11488573193329216
transition 3 6 7 -0.3791948860539147 0.2714638665843113
transition 3 6 32 0.6441608255525988 0.11241507103150093
transition 3 6 23 -0.21390472615943157 0.027794935145151328
transition 3 6 25 -0.0003871658691920743 0.4734403953057443
transition 3 7 43 -0.4608507171897145 0.3838130997079683
transition 3 7 23 0.2919243734762136 0.04630788485607009
transition 3 7 41 -0.08268341713914795 0.2190237797246558
transition 3 7 25 0.5092937970098705 0.3508552357113058
transition 3 8 9 0.8299059855879907 0.2165991902834008
transition 3 8 15 0.8049973104538124 0.20850202429149797
transition 3 8 24 -0.9056639880078678 0.08820127241179873
transition 3 8 49 0.5640322923569938 0.12058993637941007
transition 3 8 25 -0.7350270813663533 0.36610757663389243
transition 3 9 32 -0.05895728564705793 0.15786484951731972
transition 3 9 34 0.052892209356389275 0.13969335604770017
transition 3 9 30 -0.8382584554623349 0.16042021578648497
transition 3 9 15 -0.12248663032506801 0.12407722884724588
transition 3 9 25 0.5530912191168129 0.4179443498012493
transition 3 10 25 0.5331702026576148 1.0
transition 3 11 24 0.024802050434546974 0.5833333333333334
transition 3 11 25 -0.2171172315295311 0.4166666666666667
transition 3 12 18 -0.8381288759283054 0.23407729994556342
transition 3 12 26 0.002947409268704515 0.45400108873162764
transition 3 12 25 0.3772628528839497 0.31192161132280893
transition 3 13 22 -0.7261907289907719 0.06223893065998329
transition 3 13 20 0.7518543486045586 0.31453634085213034
transition 3 13 32 -0.4842415378092695 0.26357560568086885
transition 3 13 25 0.5769609258098765 0.35964912280701755
transition 3 14 26 -0.5642548458913179 0.7391304347826086
transition 3 14 25 0.10474138546684086 0.2608695652173913
transition 3 15 2 0.49883634825717116 0.33260987520347257
transition 3 15 33 -0.6641419227081298 0.21052631578947367
transition 3 15 5 -0.5969766045658342 0.22626153011394465
transition 3 15 25 -0.5185777530798714 0.23060227889310905
transition 3 16 18 0.7545695255824254 0.2646129541864139
transition 3 16 9 -0.8226373849171003 0.03593996840442338
transition 3 16 40 -0.7510272439326757 0.09320695102685624
transition 3 16 24 -0.007314944705830495 0.34834123222748814
transition 3 16 25 0.22520918579938098 0.2578988941548183
transition 3 17 17 -0.11711178845062142 0.02197802197802198
transition 3 17 26 0.697856553438716 0.1686813186813187
transition 3 17 3 -0.1523665199144455 0.4225274725274725
transition 3 17 25 -0.6410524571086007 0.3868131868131868
transition 3 18 22 0.15663566320907596 0.03255069370330843
transition 3 18 17 0.9839122301564189 0.18996798292422626
transition 3 18 28 0.4164942961147662 0.18196371398078975
transition 3 18 29 -0.7172818656637274 0.13927427961579508
transition 3 18 25 0.9582582928465224 0.45624332977588045
transition 3 19 48 -0.67935368660903 0.16117216117216118
transition 3 19 26 -0.9849545021833741 0.12393162393162394
transition 3 19 46 -0.7860464775596636 0.3034188034188034
transition 3 19 25 -0.23021321433849096 0.41147741147741146
transition 4 0 45 0.2741413521889233 0.42800397219463754
transition 4 0 23 -0.8067424085459578 0.1509433962264151
transition 4 0 19 -0.8854231882793839 0.42105263157894735
transition 4 1 37 -0.06951784703384667 0.6943359375
transition 4 1 19 0.8084680412630461 0.3056640625
transition 4 2 42 0.3512074388145654 0.3059810357403355
transition 4 2 44 -0.9579702618387769 0.33661560904449306
transition 4 2 49 -0.7961687526213415 0.06819839533187455
